Cavavin Bruz;           7 Place du Chanoine Roullin, 35170 Bruz (BVS35)

# Ne réponds pas

Ar Kav;                 29 Rue de l'Ancienne Mairie, 35230 Bourgbarré 02 99 52 86 73
La Grange;              5 Bis Rue Madeleine Brès, 35580 Guichen

Les Tablées du Rheu;    34 Avenue de la Motte, 35650 Le Rheu
